city,segment_id,time_bucket,timestamp,currentSpeed,freeFlowSpeed,jamFactor,confidence,lat,lon,source,provider,segment_name,weather_cell_id,roadClosure,date,dedup_records_collapsed,dedup_duplicate_key_rows
hanoi,HN_001,2026-05-14 21:05:00,2026-05-14 21:09:49.192615,28.0,37.0,2.43,1.0,20.9956,105.822,tomtom,tomtom_flow_segment,Nguyen Trai,HN_W1,False,2026-05-14,40,40
hanoi,HN_001,2026-05-14 21:10:00,2026-05-14 21:14:53.929544,27.0,37.0,2.7,1.0,20.9956,105.822,tomtom,tomtom_flow_segment,Nguyen Trai,HN_W1,False,2026-05-14,40,40
hanoi,HN_001,2026-05-14 21:15:00,2026-05-14 21:19:58.306328,26.0,36.0,2.78,1.0,20.9956,105.822,tomtom,tomtom_flow_segment,Nguyen Trai,HN_W1,False,2026-05-14,40,40
hanoi,HN_001,2026-05-14 21:25:00,2026-05-14 21:25:03.555538,26.0,38.0,3.16,1.0,20.9956,105.822,tomtom,tomtom_flow_segment,Nguyen Trai,HN_W1,False,2026-05-14,40,40
hanoi,HN_001,2026-05-14 21:30:00,2026-05-14 21:30:08.361539,29.0,37.0,2.16,1.0,20.9956,105.822,tomtom,tomtom_flow_segment,Nguyen Trai,HN_W1,False,2026-05-14,40,40
hanoi,HN_001,2026-05-14 21:35:00,2026-05-14 21:35:12.650642,25.0,36.0,3.06,1.0,20.9956,105.822,tomtom,tomtom_flow_segment,Nguyen Trai,HN_W1,False,2026-05-14,40,40
hanoi,HN_001,2026-05-14 21:40:00,2026-05-14 21:40:17.366626,27.0,36.0,2.5,1.0,20.9956,105.822,tomtom,tomtom_flow_segment,Nguyen Trai,HN_W1,False,2026-05-14,40,40
hanoi,HN_001,2026-05-14 21:45:00,2026-05-14 21:45:22.465547,26.0,37.0,2.97,1.0,20.9956,105.822,tomtom,tomtom_flow_segment,Nguyen Trai,HN_W1,False,2026-05-14,40,40
hanoi,HN_001,2026-05-14 21:50:00,2026-05-14 21:50:27.351542,28.0,37.0,2.43,1.0,20.9956,105.822,tomtom,tomtom_flow_segment,Nguyen Trai,HN_W1,False,2026-05-14,40,40
hanoi,HN_001,2026-05-14 21:55:00,2026-05-14 21:55:31.897643,26.0,35.0,2.57,1.0,20.9956,105.822,tomtom,tomtom_flow_segment,Nguyen Trai,HN_W1,False,2026-05-14,40,40
